Title job,Employer,Link profile employer,Location,How long ago,Link offer
Analista de Aseguramiento de la Calidad,SIGNIA SPECIALIZED LOGISTICS OPERATOR,https://pe.linkedin.com/company/signia-soluciones-logisticas-sincronizadas?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ate, Peru",1 day ago,https://pe.linkedin.com/jobs/view/analista-de-aseguramiento-de-la-calidad-at-signia-specialized-logistics-operator-4191012540?position=1&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=Lok3EcgjQW9R1AvaTTAzUw%3D%3D
QA Tester Junior,Bitel Perú,https://pe.linkedin.com/company/bitelperu?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",4 days ago,https://pe.linkedin.com/jobs/view/qa-tester-junior-at-bitel-per%C3%BA-4184927924?position=2&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=ZZSfC1PcBx0tERwo6zg2Iw%3D%3D
Manual QA / I + D - Trabajo Remoto,BairesDev,https://www.linkedin.com/company/bairesdev?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",4 days ago,https://pe.linkedin.com/jobs/view/manual-qa-i-%2B-d-trabajo-remoto-at-bairesdev-4184581934?position=3&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=CCAmdmbB9bm5iJ0Gc7CB4w%3D%3D
QA Automation Senior,Encora Inc.,https://www.linkedin.com/company/encorainc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",2 days ago,https://pe.linkedin.com/jobs/view/qa-automation-senior-at-encora-inc-4187579014?position=4&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=3%2B1KiFHVGZ%2FqJIoxBsG7YA%3D%3D
QA Automation Engineer Mid,Encora Inc.,https://www.linkedin.com/company/encorainc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",1 day ago,https://pe.linkedin.com/jobs/view/qa-automation-engineer-mid-at-encora-inc-4190720702?position=5&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=m0sKm%2BZ%2FzauXq%2FMqk%2BomcQ%3D%3D
QA Automation Senior,Encora Inc.,https://www.linkedin.com/company/encorainc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",2 days ago,https://pe.linkedin.com/jobs/view/qa-automation-senior-at-encora-inc-4190491751?position=6&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=IDM07wKTyTKTKzLWBczgfQ%3D%3D
QA Funcional Junior,Pecano Software SAC,https://pe.linkedin.com/company/pecano-software?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",1 day ago,https://pe.linkedin.com/jobs/view/qa-funcional-junior-at-pecano-software-sac-4191246755?position=7&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=YHyCifuUZeuIe%2FnuhFgeIQ%3D%3D
Quality Assurance,Delfosti,https://pe.linkedin.com/company/delfosti?trk=public_jobs_jserp-result_job-search-card-subtitle,"Miraflores, Peru",2 days ago,https://pe.linkedin.com/jobs/view/quality-assurance-at-delfosti-4188351183?position=8&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=qd66nzaFlbRTlH%2FyedUi0Q%3D%3D
Analista de certificación QA,Valtx Perú,https://pe.linkedin.com/company/valtx-peru?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Borja, Peru",2 days ago,https://pe.linkedin.com/jobs/view/analista-de-certificaci%C3%B3n-qa-at-valtx-per%C3%BA-4190612795?position=9&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=J8NOJdgVMjfXHtOmFM2%2BtQ%3D%3D
Analista de Pruebas QA (Especialista en Banca y Automatización),SOAINT,https://es.linkedin.com/company/soaint?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",2 days ago,https://pe.linkedin.com/jobs/view/analista-de-pruebas-qa-especialista-en-banca-y-automatizaci%C3%B3n-at-soaint-4188338755?position=10&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=FIX4GgTtFkRPHllNv%2FyqaA%3D%3D
QA Automation,Inetum,https://fr.linkedin.com/company/inetum?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",2 days ago,https://pe.linkedin.com/jobs/view/qa-automation-at-inetum-4190443564?position=11&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=rZodSVGFfKZbhYrKyE2k7w%3D%3D
Analista QA Senior,METRICA Perú,https://pe.linkedin.com/company/metricaperusac?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",3 days ago,https://pe.linkedin.com/jobs/view/analista-qa-senior-at-metrica-per%C3%BA-4186435357?position=12&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=seFSrDtaMaOYcOfmqQx66A%3D%3D
Automation Engineer,WTW,https://uk.linkedin.com/company/wtwcorporate?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",10 hours ago,https://pe.linkedin.com/jobs/view/automation-engineer-at-wtw-4171759039?position=13&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=3M3NMWrq0Lo%2F4NUUfAL3Hw%3D%3D
Ingeniero de aseguramiento de la calidad,Rebellion Ventures SAC,https://pe.linkedin.com/company/rebellion-ventures-sac?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",6 days ago,https://pe.linkedin.com/jobs/view/ingeniero-de-aseguramiento-de-la-calidad-at-rebellion-ventures-sac-4183406936?position=14&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=jeRTwq8qCTFKtvX%2FS1YvqQ%3D%3D
QA Automation Test Lead,Infosys,https://in.linkedin.com/company/infosys?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",3 days ago,https://pe.linkedin.com/jobs/view/qa-automation-test-lead-at-infosys-4187113300?position=15&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=lAYEyGJ3lIFLXrQN6hP5Sw%3D%3D
QA Automation Tester,Infosys,https://in.linkedin.com/company/infosys?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",3 days ago,https://pe.linkedin.com/jobs/view/qa-automation-tester-at-infosys-4187109866?position=16&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=b3doctTuTJVGXLnrzhdM%2FA%3D%3D
Líder de QA,VML,https://www.linkedin.com/company/vml?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",1 day ago,https://pe.linkedin.com/jobs/view/l%C3%ADder-de-qa-at-vml-4188688689?position=17&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=QilN7rTwh%2FE0wFtKFHXICw%3D%3D
QA Automation Lead,Talan,https://fr.linkedin.com/company/talan?trk=public_jobs_jserp-result_job-search-card-subtitle,Lima Metropolitan Area,4 days ago,https://pe.linkedin.com/jobs/view/qa-automation-lead-at-talan-4166098960?position=18&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=KaCo6xyMR8ToXBv6Pn7U0A%3D%3D
Practicante QA,VML,https://www.linkedin.com/company/vml?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",2 days ago,https://pe.linkedin.com/jobs/view/practicante-qa-at-vml-4188308183?position=19&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=4DO5Ntf16%2BdgR75eF2YlPw%3D%3D
QA Performance,Softtek,https://mx.linkedin.com/company/softtek?trk=public_jobs_jserp-result_job-search-card-subtitle,"Miraflores, Peru",6 days ago,https://pe.linkedin.com/jobs/view/qa-performance-at-softtek-4176701395?position=20&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=%2Fdo96DnDAWShJhbv17lDUg%3D%3D
Practicante QA,VML,https://www.linkedin.com/company/vml?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",1 day ago,https://pe.linkedin.com/jobs/view/practicante-qa-at-vml-4188686873?position=21&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=wfIQXWD7oT%2BJFg0on5CXsg%3D%3D
Aseguramiento de la Calidad (Textil),Confidencial,https://www.linkedin.com/company/confidencialhr?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Luis, Peru",5 days ago,https://pe.linkedin.com/jobs/view/aseguramiento-de-la-calidad-textil-at-confidencial-4187606843?position=22&pageNum=0&refId=Au1RBYuFTo1CAPZ10i68Rw%3D%3D&trackingId=dMlNTSdk7sypUxApDFZJMA%3D%3D
